listing_id,host_id,date_id,location_id,property_id,review_id,price_per_night
25659,1,13092017,1194,1,1,60
29248,2,15012016,537,2,2,60
29396,3,12052016,1745,1,1,60
29720,4,31082017,1592,3,1,1000
29915,5,16102018,480,5,3,45
40817,6,3072017,2967,6,2,70
555321,6,3072017,2967,1,2,70
757653,6,3072017,2967,6,2,70
943517,6,3072017,2967,7,2,100
1108205,6,3072017,2967,8,4,100
1114715,6,3072017,2967,9,4,70
1201873,6,3072017,2967,10,2,100
42519,7,28082018,1825,11,5,50
48025,9,20032018,932,12,4,65
50108,12,14012015,1724,14,2,60
56906,14,23112015,481,15,2,40
65878,15,15122014,870,16,1,80
83700,16,6012015,464,17,3,42
83933,17,7122017,1523,1,2,80
84599,18,18112014,1301,7,2,92
85270,19,31102014,3113,18,6,105
89015,20,23112018,261,19,3,125
103252,21,12122018,2173,1,1,80
108058,22,2032017,279,20,1,26
18104380,22,2032017,279,20,6,31
119120,23,10052012,3117,10,1,48
122998,24,5022016,1838,1,2,62
125848,25,3092018,447,1,2,69
133734,26,22052017,2835,21,7,26
134438,28,13122017,340,6,2,50
135261,29,21092015,735,10,3,75
138929,30,10052016,709,22,1,35
140080,31,10072014,932,23,8,116
404192,32,10072014,932,24,8,125
141883,33,19062014,2701,15,2,55
144851,34,6042015,335,1,3,90
145101,35,10042015,2293,25,7,139
147738,36,15052017,1195,26,1,80
149589,38,7072016,244,1,1,70
150895,39,3102014,2839,6,4,60
150945,39,28062016,2839,29,2,59
151327,40,9102018,1558,2,3,42
151909,41,20062017,1531,30,3,45
161268,42,5122014,2764,32,3,90
162349,43,21122017,1277,1,1,100
162359,43,21122017,1277,33,1,180
172014,44,20032015,277,34,2,39
172455,45,16052017,490,35,1,59
172638,46,15112017,115,6,6,59
174064,47,31052017,261,36,3,77
178515,49,22092016,3338,37,2,65
2561894,8,22092016,3338,4,10,65
5753854,50,22092016,3338,37,3,89
178524,49,19102018,1847,38,3,85
186996,51,15012016,3437,6,3,60
187442,52,20022015,2476,10,1,150
196195,53,23042015,582,7,2,30
198480,54,30122017,334,22,3,38
201878,55,18122014,2200,32,3,75
208683,49,22092016,1847,4,3,60
211616,57,11032016,2209,39,1,75
212549,58,14032014,1286,6,2,80
217187,59,9102018,9,6,3,70
500840,59,9102018,9,6,2,32
218584,61,4042014,3340,40,1,80
220830,62,6032018,188,41,4,60
220831,62,6032018,188,42,4,180
528892,62,6032018,188,43,3,60
744453,62,6032018,188,44,7,130
744454,62,6032018,188,45,10,60
227224,63,28062016,3148,46,1,59
229846,25,3092018,447,1,2,45
231329,64,14092016,803,47,3,35
231468,65,11072012,2194,48,3,152
239018,67,17082018,581,20,1,40
4469724,67,17082018,581,20,1,38
239335,68,4072017,1160,6,1,150
244494,69,9022010,2988,49,1,140
250288,70,19112015,1326,50,3,44
250491,71,4102013,781,6,1,72
250526,72,16072018,659,2,1,75
256917,73,8052015,241,26,1,60
257480,74,7092017,2262,6,3,80
261733,75,11052017,828,40,3,64
263399,76,22062016,2738,18,11,90
271430,77,21082009,1325,10,1,119
272438,77,25072012,1325,1,1,88
276492,33,11122018,2632,6,1,61
277126,33,7022017,3381,6,4,61
279549,80,30052014,65,51,1,150
279804,81,10022015,1282,16,6,65
281407,82,5062015,783,51,12,180
3666340,82,5062015,783,51,13,200
26921196,82,5062015,783,20,4,30
286672,83,19062015,1758,18,1,80
287007,46,30062017,861,1,3,80
287874,85,18022015,1711,3,2,230
291676,31,10072014,932,33,2,115
404177,32,10072014,932,23,14,109
291999,86,4012018,981,27,2,75
295749,87,11122014,1770,52,1,225
297857,87,17122014,2020,1,3,150
29357199,87,17122014,2020,1,14,95
299321,89,28082014,1763,6,1,69
300875,90,11122015,2262,2,2,100
300914,90,11122015,927,53,10,105
301264,91,20102016,3388,7,3,60
303692,91,20102016,3388,54,3,45
301755,42,5122014,164,27,3,85
301871,91,5042019,875,1,1,80
304025,31,10072014,932,55,14,115
403131,32,10072014,932,55,3,89
304028,31,10072014,932,23,15,149
403167,32,10072014,932,33,8,115
24465544,31,10072014,932,3,10,350
306191,32,27122017,2425,2,2,60
307683,40,3102018,856,15,3,60
30925117,40,3102018,856,15,2,60
308287,85,24082016,1711,27,3,70
321426,94,15042015,1798,26,1,100
322284,95,30052017,3109,49,3,110
13680839,96,6062013,2961,20,3,60
327945,97,12102018,3109,61,3,47
333311,98,8082013,1195,1,3,50
335344,99,7062016,743,7,2,75
336832,34,16012015,1783,62,2,80
344035,100,21072017,2342,54,3,80
347518,101,4072013,3059,63,3,156
347530,101,4072013,3059,63,4,146
348764,102,30012017,2023,6,1,50
349459,103,1122014,490,6,1,60
364652,104,17032015,2775,6,1,80
366081,105,14012016,816,7,3,85
369360,106,18102018,2764,20,1,30
393699,106,18102018,2764,64,2,30
393700,106,18102018,2764,65,3,150
2019189,106,18102018,2764,65,8,150
15450919,106,18102018,2764,20,3,31
387461,86,15122014,2764,7,2,60
392912,107,12122014,3013,6,1,55
395874,108,14112018,1427,66,3,45
397178,109,14052012,1576,32,3,90
403260,110,19042012,1786,7,3,90
403760,110,19042012,1786,1,3,95
405399,111,8052015,3417,10,2,98
540190,111,8052015,3417,67,4,84
1574562,111,8052015,3417,40,2,96
5671689,111,8052015,3417,6,4,130
416929,112,22012018,2317,68,2,23
1961961,112,22012018,2317,68,2,19
417448,113,20092017,1791,2,1,85
418691,114,19102018,774,10,1,60
3292356,115,6052016,560,70,1,35
424175,117,6062017,243,73,6,50
6965046,117,6062017,243,57,6,55
424664,118,24032017,3111,74,3,90
427653,119,16022015,741,75,3,50
428021,120,6032015,1622,1,15,55
436190,121,10072015,2766,70,3,88
19485703,121,10072015,2766,76,1,94
438431,122,30102014,2346,2,2,80
439435,123,16062017,823,20,3,50
439888,124,18072018,106,2,16,80
444996,125,4082015,1989,30,1,45
447832,126,15072014,870,6,6,70
449080,127,29042016,1789,16,10,65
450707,127,6052016,894,6,10,55
451351,18,18112014,3109,33,2,111
453093,128,22062012,1797,77,1,85
453233,129,1092015,2924,6,2,65
454217,127,2052016,3548,1,4,60
454267,127,29042016,2155,1,2,75
25077128,127,29042016,2155,2,2,75
454298,127,22012016,3548,78,2,65
454306,127,2052016,2909,16,4,65
454328,127,2052016,2909,78,2,65
465071,90,11122015,247,27,2,110
471483,90,30102014,3129,2,10,105
472183,131,23012015,484,2,3,69
474818,132,8082017,1653,2,3,49
478989,133,23092016,2015,23,1,50
483897,134,29062016,577,7,1,55
484157,135,16042015,900,6,1,65
486291,136,30082016,1802,7,2,55
487394,137,26022014,1650,6,1,42
487633,138,15102014,2263,6,1,60
488241,139,14082012,2262,27,1,59
488694,139,26032015,2262,40,6,69
489178,40,15022017,1558,1,3,65
493274,140,16022015,503,6,1,80
496195,70,31082018,247,10,3,67
496725,142,2082012,595,79,1,60
496935,143,19082015,1465,27,2,94
497424,144,10082018,1758,2,3,54
500107,145,2022016,981,2,1,50
28729322,146,2022016,981,1,1,65
505847,147,2062016,1399,32,1,110
506047,148,3082015,870,2,2,65
512669,149,17102018,2082,80,3,200
519119,150,17112015,694,1,1,62
521384,147,1032016,1415,1,1,120
525775,151,8062017,583,6,2,45
526914,152,29062017,1146,30,1,60
527835,153,1102018,1341,6,2,40
528641,114,24092018,2282,33,3,99
531992,155,22042014,2884,81,1,70
35887427,155,22042014,2884,82,3,50
535226,156,11122014,832,23,4,230
536424,157,17032015,775,83,1,110
536725,158,18112014,827,7,2,58
537107,147,7012013,1399,33,6,120
538390,159,27052016,2979,2,2,80
542661,161,12062013,3045,23,3,26
1735820,161,12062013,3045,23,2,160
2394254,161,12062013,3045,85,1,48
8078043,161,12062013,3045,86,3,15
16436967,161,12062013,3045,20,2,48
543049,86,4122014,2020,55,2,100
543783,52,20022015,2476,10,1,125
547234,162,6072018,2593,20,3,45
2592698,162,6072018,2593,84,3,38
26909142,162,6072018,2593,84,2,38
28220464,162,6072018,2593,84,3,38
547502,163,11072017,2529,32,1,75
550074,90,18062013,1286,27,8,105
553492,164,4082016,2108,9,2,25
554957,56,21062017,640,87,3,37
555172,166,10032015,1598,6,2,40
555230,166,11032015,583,88,2,45
557764,46,29012015,781,2,1,70
564050,168,28012015,2262,2,1,60
564265,169,1102014,2633,42,1,195
565581,170,25052012,2839,89,7,75
568655,171,9092014,856,54,3,50
575709,36,15052017,328,33,3,112
578080,172,23062017,2100,90,6,125
578827,85,16032016,861,4,2,63
579469,134,1022016,952,91,1,55
579988,148,11052012,2352,92,1,236
585175,148,3082015,870,6,2,55
585285,174,29052015,2364,1,3,62
593624,156,25062018,1702,23,11,200
594877,175,13052015,2635,1,1,45
595602,176,26032019,1077,93,6,99
600565,177,1072014,2097,2,1,69
604554,178,19102018,1781,2,3,46
607083,179,15032016,773,32,2,60
1051719,179,15032016,773,92,3,250
607621,179,15032016,773,13,2,70
608322,180,30072015,743,6,1,85
